id,url,league_name,team_name,league_country
1002,100087,Belgian Jupiler Pro League ,Oud-Heverlee Leuven,Belgium
1003,1855,Spanish Segunda División ,Real Murcia Club de Fútbol,Spain
1004,100882,Spanish Segunda División ,Real Unión Club Irún,Spain
1005,1902,Holland Eredivisie ,Roda JC Kerkrade,Netherlands
1006,1834,German 2. Bundesliga ,Rot-Weiß Ahlen,Germany
1007,1897,Portuguese Liga ZON SAGRES ,SC Beira Mar,Portugal
1008,1838,Italian Serie B ,Siena,Italy
1009,100143,Czech Republic Gambrinus Liga ,Slovan Liberec,Czech Republic
1010,1931,English League Two ,Stockport County,England
1011,100768,Russian Premier League ,Torpedo Moscow,Russia
1012,1946,English League Two ,Torquay United,England
1013,2021,Italian Serie B ,Treviso,Italy
1014,1839,Italian Serie B ,Triestina,Italy
1015,2044,Italian Serie B ,UC AlbinoLeffe,Italy
1016,1856,Spanish Segunda División ,UD Salamanca,Spain
1017,100947,Spanish Segunda División ,UD Vecindario,Spain
1018,1895,Portuguese Liga ZON SAGRES ,União de Leiria,Portugal
1019,1947,English League Two ,Wrexham,England
1020,241,Spain Primera Division ,FC Barcelona,Spain
1021,11,English Premier League ,Manchester United,England
1022,5,English Premier League ,Chelsea,England
1023,243,Spain Primera Division ,Real Madrid,Spain
1024,1,English Premier League ,Arsenal,England
1025,9,English Premier League ,Liverpool,England
1026,22,German 1. Bundesliga ,Borussia Dortmund,Germany
1027,21,German 1. Bundesliga ,FC Bayern München,Germany
1028,10,English Premier League ,Manchester City,England
1029,73,French Ligue 1 ,Paris Saint-Germain,France
1030,245,Holland Eredivisie ,Ajax,Netherlands
1031,240,Spain Primera Division ,Atlético Madrid,Spain
1032,191,Austrian Football Bundesliga ,FC Red Bull Salzburg,Austria
1033,44,Italian Serie A ,Inter,Italy
1034,47,Italian Serie A ,Milan,Italy
1035,45,Italian Serie A ,Juventus,Italy
1036,18,English Premier League ,Tottenham Hotspur,England
1037,112172,German 1. Bundesliga ,RB Leipzig,Germany
1038,1943,English Premier League ,Bournemouth,England
1039,48,Italian Serie A ,Napoli,Italy
1040,7,English Premier League ,Everton,England
1041,32,German 1. Bundesliga ,Bayer 04 Leverkusen,Germany
1042,52,Italian Serie A ,Roma,Italy
1043,34,German 1. Bundesliga ,FC Schalke 04,Germany
1044,95,English Premier League ,Leicester City,England
1045,461,Spain Primera Division ,Valencia CF,Spain
1046,110,English Premier League ,Wolverhampton Wanderers,England
1047,66,French Ligue 1 ,Olympique Lyonnais,France
1048,19,English Premier League ,West Ham United,England
1049,110374,Italian Serie A ,Fiorentina,Italy
1050,247,Holland Eredivisie ,PSV,Netherlands
1051,1792,English Premier League ,Norwich City,England
1052,449,Spain Primera Division ,Real Betis,Spain
1053,1824,German 1. Bundesliga ,Eintracht Frankfurt,Germany
1054,38,German 1. Bundesliga ,SV Werder Bremen,Germany
1055,234,Portuguese Liga ZON SAGRES ,SL Benfica,Portugal
1056,481,Spain Primera Division ,Sevilla FC,Spain
1057,69,French Ligue 1 ,AS Monaco,France
1058,219,French Ligue 1 ,Olympique de Marseille,France
1059,2,English Premier League ,Aston Villa,England
