id,url,league_name,team_name,league_country
550,432,Swedish Allsvenskan ,Helsingborgs IF,Sweden
551,1750,Belgian Jupiler Pro League ,KSV Cercle Brugge,Belgium
552,682,Belgian Jupiler Pro League ,KV Oostende,Belgium
553,1844,Italian Serie B ,Livorno,Italy
554,1914,Holland Eredivisie ,PEC Zwolle,Netherlands
555,1843,Italian Serie B ,Palermo,Italy
556,15009,Austrian Football Bundesliga ,SCR Altach,Austria
557,423,Rep. Ireland Airtricity League ,St. Patrick's Athletic,Republic of Ireland
558,983,Korean K League Classic ,Suwon Samsung Bluewings,Korea Republic
559,1473,Korean K League Classic ,Ulsan Hyundai FC,Korea Republic
560,607,Saudi Abdul L. Jameel League ,Al Ittihad,Saudi Arabia
561,741,Turkish Süper Lig ,Antalyaspor,Turkey
562,1847,Italian Serie B ,Ascoli,Italy
563,111327,Chilian Campeonato Nacional ,CD Huachipato,Chile
564,110831,Spanish Segunda División ,CD Lugo,Spain
565,1330,International,Czech Republic,Czech Republic
566,1445,Danish Superliga ,Esbjerg fB,Denmark
567,112218,Russian Premier League ,FC Krasnodar,Russia
568,898,Swiss Super League ,FC St. Gallen,Switzerland
569,1043,Campeonato Brasileiro Série A ,Flamengo,Brazil
570,1832,German 2. Bundesliga ,Karlsruher SC,Germany
571,82,Scottish Premiership ,Kilmarnock,Scotland
572,83,Scottish Premiership ,Motherwell,Scotland
573,110227,Russian Premier League ,Rubin Kazan,Russia
574,110169,German 3. Bundesliga ,SC Fortuna Köln,Germany
575,1785,Austrian Football Bundesliga ,SV Mattersburg,Austria
576,1361,International,Slovenia,Slovenia
577,670,Belgian Jupiler Pro League ,Sporting de Charleroi,Belgium
578,111434,Italian Serie B ,US Cremonese,Italy
579,111716,Argentina Primera División  ,Unión de Santa Fe,Argentina
580,110913,Belgian Jupiler Pro League ,Waasland-Beveren,Belgium
581,111085,Polish T-Mobile Ekstraklasa ,LKS Lodz,Poland
582,113391,Romanian Liga I ,Academica Clinceni,Romania
583,113345,Saudi Abdul L. Jameel League ,Al Adalah,Saudi Arabia
584,1962,English League One ,Bristol Rovers,England
585,112533,Chilian Campeonato Nacional ,CD Antofagasta,Chile
586,110978,Chilian Campeonato Nacional ,CD Cobresal,Chile
587,110069,Spanish Segunda División ,CD Mirandés,Spain
588,111328,Chilian Campeonato Nacional ,CD Palestino,Chile
589,112637,Romanian Liga I ,Gaz Metan Mediaş,Romania
590,1341,International,Iceland,Iceland
591,101144,Japanese J. League Division 1 ,Júbilo Iwata,Japan
592,111083,Polish T-Mobile Ekstraklasa ,Korona Kielce,Poland
593,113158,Japanese J. League Division 1 ,Matsumoto Yamaga,Japan
594,111138,USA Major League Soccer ,Minnesota United FC,United States
595,111473,International,New Zealand,New Zealand
596,1937,English League Two ,Notts County,England
597,110178,German 2. Bundesliga ,SV Sandhausen,Germany
598,112836,Japanese J. League Division 1 ,Vegalta Sendai,Japan
599,1569,Polish T-Mobile Ekstraklasa ,Wisła Płock,Poland
600,1039,Campeonato Brasileiro Série A ,Club Athletico Paranaense,Brazil
601,445,Rep. Ireland Airtricity League ,Derry City,Republic of Ireland
602,469,Spanish Segunda División ,Extremadura UD,Spain
603,1341,International,Iceland,Iceland
604,272,Danish Superliga ,Odense Boldklub,Denmark
605,631,Scottish Premiership ,Ross County FC,Scotland
606,270,Danish Superliga ,Silkeborg IF,Denmark
607,418,Norwegian Eliteserien ,Tromsø IL,Norway
608,920,Norwegian Eliteserien ,Vålerenga Fotball,Norway
609,1446,Danish Superliga ,AC Horsens,Denmark
610,112171,Swedish Allsvenskan ,AFC Eskilstuna,Sweden
611,113948,French Ligue 2 ,AS Béziers,France
612,111708,Argentina Primera División  ,Atlético Tucumán,Argentina
613,711,Swedish Allsvenskan ,BK Häcken,Sweden
614,111451,International,Bolivia,Bolivia
615,517,Campeonato Brasileiro Série A ,Botafogo,Brazil
616,838,Rep. Ireland Airtricity League ,Bray Wanderers,Republic of Ireland
617,1891,Portuguese Liga ZON SAGRES ,CD Nacional,Portugal
618,112534,Chilian Campeonato Nacional ,CD Universidad de Concepción,Chile
619,110066,Spanish Segunda División ,CF Rayo Majadahonda,Spain
620,113387,Romanian Liga I ,Chindia Târgovişte,Romania
621,112165,Chinese Super League ,Chongqing Dangdai Lifan FC SWM Team,China PR
622,111723,Colombian Liga Postobón ,Deportivo Pasto,Colombia
623,100766,Russian Premier League ,FC Anzhi Makhachkala,Russia
624,110752,Romanian Liga I ,FC Botoşani,Romania
625,100628,Holland Eredivisie ,FC Emmen,Netherlands
626,10032,Swiss Super League ,FC Lugano,Switzerland
627,897,Swiss Super League ,FC Luzern,Switzerland
628,110231,Russian Premier League ,FC Rostov,Russia
629,982,Korean K League Classic ,FC Seoul,Korea Republic
630,322,Swiss Super League ,Grasshopper Club Zürich,Switzerland
631,111588,Korean K League Classic ,Gyeongnam FC,Korea Republic
632,184,Scottish Premiership ,Hamilton Academical FC,Scotland
